TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 0;Test case 1;Test case 2;Test case 3;Test case 4;Test case 5;Test case 6;Test case 7;Test case 8;Test case 9
01/01/2050 00:00;2396,370853;2734,526505;2669,205312;1764,616713;1524,522269;2260,830796;1968,729803;2754,766483;2844,225052;998,043332
02/01/2050 00:00;2396,370853;2734,526505;2669,205312;1764,616713;1524,522269;2260,830796;1968,729803;2754,766483;2844,225052;998,043332
03/01/2050 00:00;2405,292385;2755,297854;2683,114149;1768,417655;1513,222316;2112,056526;1960,868843;2759,211887;2851,558608;1016,774057
04/01/2050 00:00;2414,820580;2785,039740;2697,224392;1772,808805;1501,665754;1974,115564;1930,437399;2768,004724;2862,428830;1038,716778
05/01/2050 00:00;2429,725485;2832,362917;2737,588452;1787,729272;1497,816621;1903,426451;1880,031970;2780,581665;2870,614025;1052,691621
06/01/2050 00:00;2448,210897;2892,434330;2791,197896;1809,566981;1501,610766;1869,717558;1830,424548;2793,746428;2877,651873;1063,915860
07/01/2050 00:00;2463,270442;2952,961465;2835,163564;1829,421589;1508,704167;1849,129532;1785,343133;2803,249550;2881,294994;1080,934112
08/01/2050 00:00;2449,055469;2999,481132;2859,166377;1843,893498;1505,230783;1828,268895;1741,143099;2808,735889;2874,978673;1100,738461
09/01/2050 00:00;2286,338636;2919,501844;2767,467572;1828,075914;1424,499810;1794,251833;1674,420222;2757,142264;2793,422434;1091,359789
10/01/2050 00:00;2102,210128;2738,771919;2589,069561;1784,931684;1313,269044;1765,995152;1589,343196;2666,985067;2651,943946;1058,272685
11/01/2050 00:00;1898,537519;2532,233714;2389,606888;1738,741979;1200,159534;1755,422602;1498,298986;2560,099437;2500,718925;1021,734017
12/01/2050 00:00;1696,399413;2387,110103;2212,441005;1698,076624;1103,381344;1746,758326;1409,613064;2459,532893;2371,530057;988,611422
13/01/2050 00:00;1644,250090;2302,345730;2102,497218;1679,225370;1057,879098;1732,155880;1335,053049;2396,023627;2301,518254;958,567729
14/01/2050 00:00;1678,080536;2272,016202;2076,658059;1681,409141;1063,588645;1716,107413;1285,743390;2365,040510;2282,309069;939,499832
15/01/2050 00:00;1803,124717;2304,912167;2127,601839;1719,206083;1132,616422;1714,045055;1272,046263;2375,266163;2312,518588;965,737045
16/01/2050 00:00;2092,539188;2437,323520;2316,235997;1793,194601;1239,713953;1727,462237;1292,675328;2433,631987;2388,054214;1059,479402
17/01/2050 00:00;2247,416969;2572,972901;2430,492234;1856,889886;1280,175668;1739,480809;1311,827485;2475,183653;2455,345504;1122,601326
18/01/2050 00:00;2263,321085;2658,804624;2456,615731;1892,243366;1280,661392;1744,909315;1323,071040;2480,437312;2505,048089;1158,048625
19/01/2050 00:00;2267,532048;2727,043063;2492,240835;1921,222595;1291,099873;1748,275464;1346,594367;2481,576217;2561,634753;1195,172905
