TimeZone;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1;Etc/GMT-1
DateTime;Test case 0;Test case 1;Test case 2;Test case 3;Test case 4;Test case 5;Test case 6;Test case 7;Test case 8;Test case 9
01/01/2050 00:00;4941,960075;4342,199749;3644,816228;3664,685293;2104,059963;3436,163215;2274,826452;3786,357045;4093,845073;1862,276053
02/01/2050 00:00;4941,960075;4342,199749;3644,816228;3664,685293;2104,059963;3436,163215;2274,826452;3786,357045;4093,845073;1862,276053
03/01/2050 00:00;5009,941187;4436,494510;3669,186556;3730,670669;2080,829332;3390,132282;2218,227835;3803,695742;4085,689499;1870,514193
04/01/2050 00:00;5073,062864;4515,469908;3684,743505;3789,814474;2063,844507;3367,308959;2153,555641;3826,264917;4062,674907;1870,180214
05/01/2050 00:00;5098,209589;4582,768656;3681,154724;3836,407074;2059,668874;3358,988304;2112,218258;3866,886037;4003,086869;1881,012255
06/01/2050 00:00;5101,064082;4645,543119;3666,215379;3876,357857;2072,925037;3386,439782;2092,376983;3923,928821;3949,391783;1905,414961
07/01/2050 00:00;5081,218559;4681,155235;3641,461135;3931,040490;2089,651091;3430,582696;2059,898804;3981,701835;3918,170961;1907,964331
08/01/2050 00:00;5017,638124;4664,155897;3606,624920;3996,742882;2103,871765;3457,700011;2032,050814;4033,921710;3899,546533;1913,174398
09/01/2050 00:00;4770,741464;4529,125932;3451,405961;3944,540526;2047,847718;3354,460397;1989,844226;3969,542670;3805,056690;1847,692318
10/01/2050 00:00;4173,404806;4192,831790;3129,684249;3612,765922;1878,034749;3013,012793;1904,846008;3672,831884;3564,239294;1700,797378
11/01/2050 00:00;3632,410403;3853,643436;2843,816964;3319,194254;1726,371078;2796,274765;1805,973941;3391,812534;3317,748455;1598,399526
12/01/2050 00:00;3317,787497;3653,643399;2632,446099;3119,640095;1637,294842;2740,837148;1707,085158;3190,320233;3106,784177;1511,553946
13/01/2050 00:00;3095,901633;3525,549563;2493,735534;3012,505412;1594,574007;2722,274401;1617,456752;3076,846019;2950,426787;1457,983771
14/01/2050 00:00;2982,503498;3476,464390;2433,744467;2996,741499;1590,127840;2730,511516;1585,663908;3064,873657;2878,174815;1452,885031
15/01/2050 00:00;2996,368178;3524,418491;2469,966119;3068,802724;1632,131173;2761,722326;1624,477254;3140,851454;2911,472522;1502,202544
16/01/2050 00:00;3158,496589;3703,027972;2673,308129;3281,091195;1743,332379;2810,961223;1762,797855;3342,445647;3069,315813;1635,337564
17/01/2050 00:00;3376,134695;3993,563622;2879,771544;3643,478086;1889,503035;2919,647691;1899,914941;3693,600960;3293,484355;1744,470652
18/01/2050 00:00;3509,616228;4178,344096;2886,548498;3862,791237;1996,152213;3046,061499;1984,010523;3922,655166;3442,631744;1765,155063
19/01/2050 00:00;3611,528427;4279,957555;2883,009793;3959,222438;2067,267349;3149,468194;2060,951880;4071,570967;3555,475851;1774,328343
20/01/2050 00:00;3674,887979;4339,954239;2910,935518;3985,856293;2108,929573;3221,630663;2143,777085;4198,257235;3653,849301;1779,148768
21/01/2050 00:00;3680,036261;4366,484517;2933,286113;3986,222509;2144,487141;3272,273043;2245,240052;4286,020590;3732,129307;1785,906269
22/01/2050 00:00;3629,182108;4374,917653;2918,313384;3986,938294;2177,292320;3302,163911;2371,241344;4339,666960;3803,908493;1802,204427
23/01/2050 00:00;3578,378927;4358,650184;2869,873184;3999,189867;2182,432465;3308,546421;2488,667594;4374,072640;3872,563908;1812,435306
24/01/2050 00:00;3555,101216;4296,590958;2811,718238;4029,402647;2154,579233;3299,189861;2600,861899;4393,432204;3952,008997;1826,239757
